0.0001700,3.529755
0.0001940,3.53051
0.0002290,3.52982
0.0002680,3.522055
0.0003120,3.438914
0.0003650,3.438615
0.0004340,3.180218
0.0005170,3.620623
0.0006090,8.111896
0.0007220,13.25749
0.0008630,23.243578
0.0010340,34.688308
0.0012390,46.160297
0.0014880,57.717269
0.0017860,69.170396
0.0021470,80.81755
0.0025820,92.317359
0.0031040,103.892144
0.0037390,115.375932
0.0045060,126.893182
0.0054290,138.374916
0.0065400,149.873152
0.0078900,161.322748
0.0095100,172.773439
0.0114700,184.188102
0.0142700,195.605994
,206.999266
,218.376225
,229.728083
,241.062202
,252.373354
,263.668651
,274.939412
,286.187665
,297.410538
,308.612662
,319.788914
,330.940696
,342.064674
,353.162131
